Subject,Session,index,Trial,SOA,Answer
4,5,30328,38,300,1
4,5,31122,39,-500,1
4,5,31915,40,-700,1
4,5,32710,41,-350,1
4,5,33503,42,-350,1
4,5,34298,43,-700,0
4,5,35092,44,-50,1
5,1,821,1,-200,0
5,1,1629,2,-500,1
5,1,2441,3,-700,1
5,1,3249,4,-700,0
5,1,4092,5,600,0
5,1,4926,6,600,0
5,1,5739,7,-500,0
5,1,6539,8,-50,1
5,1,7340,9,-150,1
5,1,8145,10,-700,1
5,1,8963,11,-250,1
5,1,9766,12,-150,1
5,1,10571,13,-150,1
5,1,11382,14,-250,1
5,1,12191,15,-250,1
5,1,12998,16,100,0
5,1,13810,17,-350,0
5,1,14638,18,-150,0
5,1,15456,19,-1000,0
5,1,16269,20,-50,0
5,1,17088,21,300,0
5,1,17888,22,-200,1
5,1,18692,23,-250,1
5,1,19512,24,-700,0
5,1,20315,25,-350,1
5,1,21152,26,600,0
5,1,21955,27,-350,1
5,1,22757,28,100,0
5,1,23587,29,-1000,0
5,1,24390,30,-50,1
5,1,25202,31,-1000,0
5,1,26014,32,-500,1
5,1,26833,33,300,0
5,1,27649,34,-350,1
5,1,28472,35,300,0
5,1,29278,36,-200,1
5,1,30121,37,600,0
5,1,30931,38,100,1
5,1,31744,39,100,0
5,1,32561,40,-1000,0
5,1,33365,41,-500,1
5,1,34175,42,-50,1
5,1,34993,43,300,0
5,1,35811,44,-200,1
5,2,862,1,600,0
5,2,1670,2,-150,1
5,2,2506,3,600,0
5,2,3310,4,100,1
5,2,4138,5,-1000,0
5,2,4957,6,300,0
5,2,5763,7,-500,1
5,2,6575,8,-500,1
5,2,7384,9,-50,1
5,2,8212,10,300,0
5,2,9049,11,600,0
5,2,9855,12,-1000,0
5,2,10658,13,-500,1
5,2,11483,14,-200,1
5,2,12298,15,300,1
5,2,13109,16,-700,1
5,2,13916,17,-200,1
5,2,14724,18,-250,1
5,2,15540,19,300,0
5,2,16360,20,-350,0
5,2,17166,21,-150,1
5,2,17979,22,-500,1
5,2,18786,23,-350,1
5,2,19592,24,-1000,1
5,2,20402,25,-50,1
5,2,21211,26,-350,1
5,2,22034,27,100,1
5,2,22845,28,-150,1
5,2,23654,29,-250,1
5,2,24464,30,-200,1
5,2,25268,31,-700,0
5,2,26078,32,-250,1
5,2,26879,33,-350,1
5,2,27709,34,-1000,0
5,2,28533,35,100,1
5,2,29343,36,-700,0
5,2,30184,37,600,0
5,2,30998,38,-150,1
5,2,31819,39,-50,1
5,2,32632,40,100,1
5,2,33440,41,-700,1
5,2,34248,42,-250,1
5,2,35052,43,-50,1
5,2,35859,44,-200,1
5,3,805,1,-250,1
5,3,1612,2,100,0
5,3,2418,3,-50,1
5,3,3233,4,100,1
5,3,4050,5,300,0
5,3,4886,6,600,0
5,3,5698,7,100,1
5,3,6504,8,-700,1
5,3,7307,9,-350,1
5,3,8112,10,-350,1
5,3,8919,11,-1000,1
5,3,9723,12,-250,1
5,3,10548,13,-500,0
5,3,11356,14,-50,1
5,3,12162,15,-50,1
5,3,12984,16,-200,1
5,3,13788,17,-700,0
5,3,14594,18,-50,1
5,3,15399,19,-250,1
5,3,16209,20,-200,1
5,3,17051,21,600,1
5,3,17862,22,-1000,0
5,3,18667,23,-250,0
5,3,19472,24,-500,1
5,3,20271,25,-500,1
5,3,21082,26,-200,1
5,3,21899,27,300,0
5,3,22705,28,-1000,0
5,3,23510,29,-150,1
5,3,24317,30,-500,1
5,3,25153,31,600,0
5,3,25971,32,300,0
5,3,26777,33,-150,1
5,3,27581,34,-350,1
5,3,28385,35,-150,1
5,3,29214,36,300,1
5,3,30016,37,-700,0
5,3,30831,38,-700,1
5,3,31633,39,-200,1
5,3,32480,40,600,0
5,3,33286,41,100,1
5,3,34089,42,-150,1
5,3,34894,43,-350,1
5,3,35698,44,-1000,0
5,4,840,1,600,0
5,4,1642,2,-500,1
5,4,2479,3,600,0
5,4,3287,4,-200,1
5,4,4161,5,-200,1
5,4,4968,6,-200,0
5,4,5772,7,-50,1
5,4,6577,8,-150,1
5,4,7381,9,-700,1
5,4,8204,10,-350,1
5,4,9009,11,-1000,1
5,4,9817,12,-500,1
5,4,10670,13,600,0
5,4,11489,14,-1000,1
5,4,12293,15,-350,1
5,4,13102,16,-200,1
5,4,13911,17,-350,1
5,4,14721,18,-50,1
5,4,15525,19,-50,1
5,4,16338,20,-250,1
5,4,17145,21,-1000,1
5,4,17983,22,600,1
5,4,18793,23,100,1
5,4,19610,24,300,0
5,4,20415,25,-150,1
5,4,21233,26,300,0
5,4,22040,27,-250,1
5,4,22859,28,300,0
5,4,23666,29,-500,1
5,4,24472,30,-150,1
5,4,25276,31,-250,1
5,4,26082,32,-700,1
5,4,26888,33,-500,1
5,4,27692,34,100,1
5,4,28504,35,100,1
5,4,29308,36,-700,1
5,4,30109,37,100,0
5,4,30913,38,-250,1
5,4,31723,39,-700,1
5,4,32530,40,-50,1
5,4,33332,41,-1000,0
5,4,34154,42,300,1
5,4,34958,43,-350,1
5,4,35760,44,-150,1
5,5,801,1,-150,1
5,5,1608,2,-700,1
5,5,2414,3,-200,1
5,5,3229,4,300,1
5,5,4032,5,100,1
5,5,4838,6,-50,1
5,5,5644,7,-200,1
5,5,6455,8,-200,1
5,5,7262,9,-150,1
5,5,8105,10,-500,1
5,5,8911,11,100,0
5,5,9717,12,-1000,1
5,5,10534,13,300,0
5,5,11351,14,-50,0
5,5,12155,15,-250,1
5,5,12955,16,-500,1
5,5,13757,17,100,1
5,5,14578,18,100,1
5,5,15385,19,-500,1
5,5,16194,20,-250,1
5,5,17000,21,-50,1
5,5,17807,22,-250,1
5,5,18614,23,-150,1
5,5,19450,24,600,0
5,5,20252,25,-150,1
5,5,21066,26,300,1
5,5,21867,27,-500,1
5,5,22682,28,300,1
5,5,23516,29,600,0
5,5,24352,30,600,0
5,5,25155,31,-350,1
5,5,25962,32,-700,1
5,5,26770,33,-700,0
5,5,27607,34,600,0
5,5,28419,35,-350,1
5,5,29224,36,-350,1
5,5,30036,37,-350,1
5,5,30838,38,-1000,0
5,5,31643,39,-1000,0
5,5,32447,40,-1000,0
5,5,33249,41,-50,1
5,5,34051,42,-250,1
5,5,34855,43,-200,1
5,5,35658,44,-700,1
6,1,819,1,-150,1
6,1,1735,2,-500,0
6,1,2565,3,-50,0
6,1,3442,4,-350,1
6,1,4241,5,-50,0
6,1,5095,6,-700,0
6,1,5904,7,-250,0
6,1,6745,8,600,0
6,1,7550,9,-500,0
6,1,8400,10,-700,1
6,1,9206,11,300,0
6,1,10017,12,300,0
6,1,10875,13,-700,0
6,1,11721,14,-1000,0
6,1,12541,15,300,0
6,1,13353,16,-50,0
6,1,14199,17,-500,1
6,1,15014,18,-350,1
6,1,15822,19,-150,1
6,1,16665,20,-250,1
6,1,17622,21,100,0
6,1,18513,22,-50,0
6,1,19318,23,-700,1
6,1,20162,24,-250,0
6,1,20956,25,100,0
6,1,21852,26,-350,0
6,1,22657,27,-200,1
6,1,23485,28,600,0
6,1,24291,29,300,0
6,1,25129,30,-1000,1
6,1,25956,31,-350,1
6,1,26758,32,-200,1
6,1,27558,33,100,1
6,1,28428,34,-500,0
6,1,29219,35,-150,1
6,1,30045,36,600,0
6,1,30956,37,100,0
6,1,31748,38,-150,1
6,1,32615,39,600,1
6,1,33408,40,-200,1
6,1,34280,41,-1000,0
6,1,35074,42,-200,1
6,1,35868,43,-1000,1
6,1,36682,44,-250,1
6,2,820,1,100,0
6,2,1646,2,-150,0
6,2,2447,3,-50,1
6,2,3264,4,-500,1
6,2,4115,5,600,0
6,2,4929,6,300,1
6,2,5727,7,-350,1
6,2,6530,8,-350,1
6,2,7337,9,-150,1
6,2,8138,10,-1000,1
6,2,8955,11,-150,1
6,2,9766,12,-500,1
6,2,10578,13,300,1
6,2,11413,14,-200,1
6,2,12225,15,-250,1
6,2,13059,16,600,0
6,2,13958,17,100,0
6,2,14835,18,600,0
6,2,15644,19,-500,1
6,2,16483,20,-700,1
6,2,17293,21,-50,0
6,2,18115,22,100,0
6,2,18963,23,-1000,1
6,2,19802,24,-350,1
6,2,20627,25,-200,0
6,2,21448,26,-700,1
6,2,22270,27,-150,1
6,2,23085,28,-500,1
6,2,23908,29,-250,1
6,2,24726,30,-50,1
6,2,25566,31,300,0
6,2,26398,32,-700,0
6,2,27256,33,-700,1
6,2,28210,34,-350,0
6,2,29050,35,300,0
6,2,29878,36,-200,1
6,2,30765,37,100,0
6,2,31664,38,-250,0
6,2,32546,39,-200,1
6,2,33402,40,-1000,0
6,2,34318,41,600,0
6,2,35169,42,-50,0
6,2,36013,43,-1000,1
6,2,36832,44,-250,1
6,3,792,1,-700,0
6,3,1587,2,100,0
6,3,2376,3,-500,1
6,3,3170,4,300,0
6,3,3959,5,-1000,0
6,3,4741,6,-250,1
6,3,5530,7,300,0
6,3,6334,8,100,1
6,3,7160,9,600,0
6,3,7940,10,-500,0
6,3,8722,11,-150,1
6,3,9510,12,-200,1
6,3,10292,13,-350,1
6,3,11071,14,100,0
6,3,11864,15,-700,0
6,3,12644,16,-50,1
6,3,13428,17,-200,0
6,3,14238,18,600,0
6,3,15020,19,-1000,0
6,3,15797,20,-50,0
6,3,16574,21,-50,1
6,3,17371,22,300,0
6,3,18148,23,-700,0
6,3,18928,24,-200,1
6,3,19716,25,-250,1
6,3,20503,26,-700,0
6,3,21326,27,-150,1
6,3,22114,28,-1000,0
6,3,22897,29,-250,1
6,3,23685,30,-50,1
6,3,24464,31,-250,0
6,3,25246,32,-350,1
6,3,26059,33,300,0
6,3,26883,34,-150,0
6,3,27682,35,-500,0
6,3,28479,36,-150,1
6,3,29289,37,600,0
6,3,30100,38,600,0
6,3,30923,39,-1000,0
6,3,31703,40,-200,1
